award,start-date,fund,intervention,amount,organisation,organisations,documentation-url,notes
401,45735,local-plans-delivery,plan-making,227962,local-authority:BRD,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
402,45735,local-plans-delivery,plan-making,227962,local-authority:COT,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
403,45735,local-plans-delivery,plan-making,227962,local-authority:DEB,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
404,45735,local-plans-delivery,plan-making,227962,local-authority:DST,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
405,45735,local-plans-delivery,plan-making,227962,local-authority:EHA,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
406,45735,local-plans-delivery,plan-making,227962,local-authority:EAS,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
407,45735,local-plans-delivery,plan-making,227962,local-authority:FEN,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
408,45735,local-plans-delivery,plan-making,227962,local-authority:FOE,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
409,45735,local-plans-delivery,plan-making,227962,local-authority:GOS,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
410,45735,local-plans-delivery,plan-making,227962,local-authority:GRA,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
411,45735,local-plans-delivery,plan-making,227962,local-authority:GRE,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
412,45735,local-plans-delivery,plan-making,227962,local-authority:HCK,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
413,45735,local-plans-delivery,plan-making,227962,local-authority:HRY,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
414,45735,local-plans-delivery,plan-making,227962,local-authority:HAS,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
415,45735,local-plans-delivery,plan-making,227962,local-authority:HAA,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
416,45735,local-plans-delivery,plan-making,227962,local-authority:HER,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
417,45735,local-plans-delivery,plan-making,227962,local-authority:HIG,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
418,45735,local-plans-delivery,plan-making,227962,local-authority:HIL,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
419,45735,local-plans-delivery,plan-making,227962,local-authority:HIN,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
420,45735,local-plans-delivery,plan-making,227962,local-authority:KHL,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
421,45735,local-plans-delivery,plan-making,227962,local-authority:KTT,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
422,45735,local-plans-delivery,plan-making,227962,local-authority:LDS,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
423,45735,local-plans-delivery,plan-making,227962,local-authority:LEE,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
424,45735,local-plans-delivery,plan-making,227962,local-authority:LIF,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
425,45735,local-plans-delivery,plan-making,227962,local-authority:LIV,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
426,45735,local-plans-delivery,plan-making,227962,local-authority:MAI,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
427,45735,local-plans-delivery,plan-making,227962,local-authority:MAN,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
428,45735,local-plans-delivery,plan-making,227962,local-authority:MAS,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
429,45735,local-plans-delivery,plan-making,227962,local-authority:MDW,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
430,45735,local-plans-delivery,plan-making,227962,local-authority:MIK,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
431,45735,local-plans-delivery,plan-making,227962,local-authority:NEW,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
432,45735,local-plans-delivery,plan-making,227962,local-authority:NEL,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
433,45735,local-plans-delivery,plan-making,227962,local-authority:NNUA,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
434,45735,local-plans-delivery,plan-making,227962,local-authority:NWL,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
435,45735,local-plans-delivery,plan-making,227962,local-authority:OLD,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
436,45735,local-plans-delivery,plan-making,227962,national-park-authority:Q72617988,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
437,45735,local-plans-delivery,plan-making,227962,local-authority:PTE,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
438,45735,local-plans-delivery,plan-making,227962,local-authority:RIB,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
439,45735,local-plans-delivery,plan-making,227962,local-authority:RCH,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
440,45735,local-plans-delivery,plan-making,227962,local-authority:ROC,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
441,45735,local-plans-delivery,plan-making,227962,local-authority:ROH,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
442,45735,local-plans-delivery,plan-making,227962,local-authority:RUG,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
443,45735,local-plans-delivery,plan-making,227962,local-authority:SLF,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
444,45735,local-plans-delivery,plan-making,227962,local-authority:SEV,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
445,45735,local-plans-delivery,plan-making,227962,local-authority:SLG,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
446,45735,local-plans-delivery,plan-making,455925,local-authority:SCA,local-authority:CAB,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
447,45735,local-plans-delivery,plan-making,227962,local-authority:SDE,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
448,45735,local-plans-delivery,plan-making,227962,local-authority:SGC,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
449,45735,local-plans-delivery,plan-making,227962,local-authority:SKE,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
450,45735,local-plans-delivery,plan-making,227962,local-authority:SOS,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
451,45735,local-plans-delivery,plan-making,227962,local-authority:SKP,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
452,45735,local-plans-delivery,plan-making,227962,local-authority:STE,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
453,45735,local-plans-delivery,plan-making,227962,local-authority:STR,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
454,45735,local-plans-delivery,plan-making,227962,local-authority:STN,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
455,45735,local-plans-delivery,plan-making,227962,local-authority:SWL,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
456,45735,local-plans-delivery,plan-making,227962,local-authority:TAM,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
457,45735,local-plans-delivery,plan-making,227962,local-authority:TAW,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
458,45735,local-plans-delivery,plan-making,227962,local-authority:TES,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
459,45735,local-plans-delivery,plan-making,683887,local-authority:TEW,local-authority:CHT;local-authority:GLO,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
460,45735,local-plans-delivery,plan-making,227962,national-park-authority:Q4972284,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
461,45735,local-plans-delivery,plan-making,227962,local-authority:THE,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
462,45735,local-plans-delivery,plan-making,227962,local-authority:THR,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
463,45735,local-plans-delivery,plan-making,227962,local-authority:TON,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
464,45735,local-plans-delivery,plan-making,227962,local-authority:TOB,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
465,45735,local-plans-delivery,plan-making,227962,local-authority:TRF,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
466,45735,local-plans-delivery,plan-making,227962,local-authority:WAW,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
467,45735,local-plans-delivery,plan-making,227962,local-authority:WEA,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
468,45735,local-plans-delivery,plan-making,227962,local-authority:WNUA,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
469,45735,local-plans-delivery,plan-making,227962,local-authority:WOX,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
470,45735,local-plans-delivery,plan-making,227962,local-authority:WGN,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
471,45735,local-plans-delivery,plan-making,227962,national-park-authority:Q27178932,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
472,45923,odp-round-4,improvement,50000,local-authority:BPL,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
473,45923,odp-round-4,improvement,50000,local-authority:BRA,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
474,45923,odp-round-4,improvement,50000,local-authority:BNH,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
475,45923,odp-round-4,improvement,50000,local-authority:CHL,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
476,45923,odp-round-4,improvement,50000,local-authority:HEF,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
477,45923,odp-round-4,improvement,50000,local-authority:DAR,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
478,45923,odp-round-4,improvement,50000,local-authority:DER,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
479,45923,odp-round-4,improvement,50000,local-authority:FEN,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
480,45923,odp-round-4,improvement,50000,local-authority:GED,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
481,45923,odp-round-4,improvement,50000,local-authority:HAR,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
482,45923,odp-round-4,improvement,50000,local-authority:KIN,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
483,45923,odp-round-4,improvement,50000,local-authority:KTT,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
484,45923,odp-round-4,improvement,50000,local-authority:BEX,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
485,45923,odp-round-4,improvement,50000,local-authority:BEN,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
486,45923,odp-round-4,improvement,50000,local-authority:HCK,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
487,45923,odp-round-4,improvement,50000,local-authority:MAV,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
488,45923,odp-round-4,improvement,50000,local-authority:NDE,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
489,45923,odp-round-4,improvement,50000,local-authority:NGM,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
490,45923,odp-round-4,improvement,50000,local-authority:ROT,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
491,45923,odp-round-4,improvement,50000,local-authority:SWL,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
492,45923,odp-round-4,improvement,50000,local-authority:WFUA,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
493,45923,odp-round-4,improvement,50000,local-authority:WIL,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
494,45923,odp-round-4,improvement,50000,local-authority:WOC,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
495,45923,odp-round-4,improvement,50000,local-authority:WYC,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/,
